strategy_id,strategy_type,target_zone,target_zone_group,target_od_pair,target_time_window,problem_detected,evidence_metric,recommended_action,expected_business_impact,final_action_score,priority,confidence_level,created_at
STRAT_0001,driver_supply_reallocation,Long Island City/Queens Plaza,spillover_zones,,18:00-22:00,边界区域的外溢评分和政策后需求表明，该区域可能承接了核心区转移需求。,"{'spillover_score': 3.421, 'demand_gap_rate': 0.156, 'post_policy_average_orders': 1.21}",在目标时段前预部署司机，并按实时请求量动态调整区域推荐权重。,缩短边界区接驾时间，减少核心区无效等待。,0.33,Low,Low,2026-06-21T13:51:24.556737+00:00
STRAT_0002,driver_supply_reallocation,Astoria,spillover_zones,,18:00-22:00,边界区域的外溢评分和政策后需求表明，该区域可能承接了核心区转移需求。,"{'spillover_score': 2.966, 'demand_gap_rate': -0.135, 'post_policy_average_orders': 1.92}",在目标时段前预部署司机，并按实时请求量动态调整区域推荐权重。,缩短边界区接驾时间，减少核心区无效等待。,0.121,Low,Low,2026-06-21T13:51:24.556737+00:00
STRAT_0003,driver_supply_reallocation,Morningside Heights,spillover_zones,,17:00-21:00,边界区域的外溢评分和政策后需求表明，该区域可能承接了核心区转移需求。,"{'spillover_score': 3.336, 'demand_gap_rate': -0.03, 'post_policy_average_orders': 1.45}",在目标时段前预部署司机，并按实时请求量动态调整区域推荐权重。,缩短边界区接驾时间，减少核心区无效等待。,0.111,Low,Low,2026-06-21T13:51:24.556737+00:00
STRAT_0004,route_level_driver_incentive,,,Van Cortlandt Village -> Van Cortlandt Village,晚高峰优先,该高价值路线的通行成本压力高于司机单位时间收入变化，需要先验证供给侧激励。,"{'post_policy_order_count': 47, 'tolls_change_rate': 101.019, 'driver_pay_per_minute_change_rate': -0.078, 'fare_per_mile_change_rate': 0.07}",对该路线试行司机侧定向激励，并以接单率和取消率作为扩量门槛。,稳定高价值路线供给，降低司机因通行成本和时间成本带来的拒单风险。,0.175,Low,Low,2026-06-21T13:51:24.557739+00:00
STRAT_0005,route_level_driver_incentive,,,East Chelsea -> East Chelsea,晚高峰优先,该高价值路线的通行成本压力高于司机单位时间收入变化，需要先验证供给侧激励。,"{'post_policy_order_count': 47, 'tolls_change_rate': 61.862, 'driver_pay_per_minute_change_rate': 0.3, 'fare_per_mile_change_rate': 2.794}",对该路线试行司机侧定向激励，并以接单率和取消率作为扩量门槛。,稳定高价值路线供给，降低司机因通行成本和时间成本带来的拒单风险。,0.102,Low,Low,2026-06-21T13:51:24.557739+00:00
STRAT_0006,airport_route_strategy,,,LaGuardia Airport -> Ridgewood,航班到达高峰,机场路线仍有订单量，但通行成本与司机单位时间收益的组合需要专项运营，而非通用优惠。,"{'post_policy_order_count': 17, 'tolls_change_rate': 94.255, 'driver_pay_per_minute_change_rate': 0.041}",为机场至核心区路线设置优先派单和司机激励试点。,降低机场高价值路线的供给波动并稳定服务可得性。,0.145,Low,Low,2026-06-21T13:51:24.558744+00:00
STRAT_0007,passenger_discount,Green-Wood Cemetery,other,,17:00-21:00,该区域实际需求低于无政策基线，同时乘客单位里程价格上升。,"{'demand_gap_rate': 0.231, 'fare_per_mile_change_rate': 0.228, 'driver_pay_per_minute_change_rate': 0.079}",在目标区域和时段测试乘客侧价格减免，并设置预算上限与对照组。,验证价格干预能否恢复需求，而不在司机收益已受压的路线重复补贴。,0.52,Medium,Low,2026-06-21T13:51:24.558744+00:00
STRAT_0008,passenger_discount,Corona,other,,08:00-12:00,该区域实际需求低于无政策基线，同时乘客单位里程价格上升。,"{'demand_gap_rate': 0.211, 'fare_per_mile_change_rate': 0.177, 'driver_pay_per_minute_change_rate': 0.017}",在目标区域和时段测试乘客侧价格减免，并设置预算上限与对照组。,验证价格干预能否恢复需求，而不在司机收益已受压的路线重复补贴。,0.45,Low,Low,2026-06-21T13:51:24.558744+00:00
STRAT_0009,boundary_zone_strategy,Long Island City/Queens Plaza,spillover_zones,,18:00-22:00,收费区边界附近出现可能的需求承接，应将其作为新的调度节点而不是沿用旧热区。,"{'spillover_score': 3.421, 'post_policy_average_orders': 1.21}",将边界区加入高峰调度热区，并按小时复核供给响应。,在需求转移发生时提升匹配效率，避免核心区运力惯性滞留。,0.33,Low,Low,2026-06-21T13:51:24.558744+00:00
STRAT_0010,boundary_zone_strategy,Astoria,spillover_zones,,18:00-22:00,收费区边界附近出现可能的需求承接，应将其作为新的调度节点而不是沿用旧热区。,"{'spillover_score': 2.966, 'post_policy_average_orders': 1.92}",将边界区加入高峰调度热区，并按小时复核供给响应。,在需求转移发生时提升匹配效率，避免核心区运力惯性滞留。,0.121,Low,Low,2026-06-21T13:51:24.558744+00:00
STRAT_0011,reduce_low_value_supply,Governor's Island/Ellis Island/Liberty Island,other,,00:00-04:00,该非机场区域的司机单位时间收益走弱，且没有明显外溢承接信号。,"{'driver_pay_per_minute_change_rate': -1.0, 'spillover_score': -0.0, 'demand_gap_rate': 0.0}",下调该区域的司机推荐权重，避免在低价值时段扩大无效等待。,减少低收益供给占用，把运力释放给需求更强的区域或路线。,0.0,Low,Low,2026-06-21T13:51:24.560744+00:00
STRAT_0012,reduce_low_value_supply,Maspeth,other,,06:00-10:00,该非机场区域的司机单位时间收益走弱，且没有明显外溢承接信号。,"{'driver_pay_per_minute_change_rate': -0.028, 'spillover_score': -0.343, 'demand_gap_rate': 0.007}",下调该区域的司机推荐权重，避免在低价值时段扩大无效等待。,减少低收益供给占用，把运力释放给需求更强的区域或路线。,0.009,Low,Low,2026-06-21T13:51:24.560744+00:00
